Animal-Animal ID,Animal-Birth ID,Animal-BW 1-Value,Animal-BW 1-Reliability,Animal-PW-Value,Animal-PW-Reliability,Animal-A2 Status,Animal-Calving Date,Pre-Calving-Expected Calving Date,Dam-Cow No.,Dam-Official ID,Sire-Name,Sire-Sire ID,Calf-Birth Date,Calf-BW 2-Value,Calf-BW 2-Reliability,Calf-Sex
1,HKYM-15-74,214,67,64,68,A2/A2,,06 Sep 2020,,FMD-08-39,LYNBROOK TERRIFIC ET S3J,309084,,,,
2,HKYM-17-79,206,53,155,50,A2/A2,29 Aug 2020,,,HKYM-13-27,WILLAND LT DYNAMO,311029,29 Aug 2020,267,35,F
3,HKYM-13-78,205,59,296,77,A2/A2,24 Aug 2020,,,FMD-11-119,HAYWARDS TGM AIM S3J,308103,24 Aug 2020,,,M
4,HKYM-13-236,179,60,86,77,A2/A2,,,,FMD-11-78,UPLAND PARK TS INDY S3J,311005,,,,
5,HKYM-17-78,213,54,199,50,A2/A2,29 Aug 2020,,323,HKYM-13-124,KELLAND KC SPEEDWAY,309012,29 Aug 2020,,,M
6,WTNG-14-21,198,58,281,69,A2/A2,,08 Oct 2020,,MQVR-11-42,HOWIES CHECKPOINT,508077,,,,
7,HKYM-15-35,220,51,262,67,A2/A2,02 Sep 2020,,90,MQVR-09-25,FREYDAN ISOLA PEDROZA,314524,02 Sep 2020,,,M
8,PQVV-13-80,193,56,340,71,A2/A2,25 Aug 2020,,,HJTQ-10-493,HOWIES CHECKPOINT,508077,25 Aug 2020,261,36,F
9,HKYM-17-59,215,55,331,51,A2/A2,29 Aug 2020,,,FMD-11-3,KELLAND KC SPEEDWAY,309012,29 Aug 2020,260,36,F
10,HKYM-14-206,240,67,261,75,A2/A2,24 Aug 2020,,,FMD-07-50,BONACORD MURMUR BOLT,313016,24 Aug 2020,,,M
11,WTNG-18-50,267,42,275,15,A2/A2,30 Aug 2020,,,FMD-11-223,BRAEDENE PAS TRIPLESTAR,313516,30 Aug 2020,,,M
12,HKYM-18-36,259,42,252,15,A2/A2,11 Aug 2020,,379,HKYM-15-172,BRAEDENE PAS TRIPLESTAR,313516,11 Aug 2020,,,M
13,HKYM-15-149,237,57,250,69,A2/A2,,06 Oct 2020,,FMD-11-25,PUKEROA TGM MANZELLO,308533,,,,
14,PQVV-12-38,167,54,175,71,A2/A2,18 Aug 2020,,,HJTQ-08-299,ARKANS BLOCKBUSTER,511028,18 Aug 2020,,,M
15,PQVV-15-63,192,54,241,64,A2/A2,25 Aug 2020,,,HJTQ-09-19,KELLAND KC SPEEDWAY,309012,25 Aug 2020,249,36,F
16,HKYM-14-49,209,58,223,72,A2/A2,23 Aug 2020,,,FMD-11-223,OKURA LIKA MURMUR S3J,306549,23 Aug 2020,257,37,F
17,HKYM-17-71,248,54,349,42,A2/A2,02 Sep 2020,,,FMD-11-63,LYNBROOK TERRIFIC ET S3J,309084,02 Sep 2020,,,M
18,HKYM-18-45,228,43,222,15,A2/A2,,,133,HKYM-14-134,BONACORD MURMUR BOLT,313016,,,,
19,PQVV-15-18,170,52,146,64,A2/A2,05 Aug 2020,,,HJTQ-09-475,TAWA GROVE KRC TANA,309030,05 Aug 2020,100,13,M
20,HKYM-14-114,214,58,257,72,A2/A2,,05 Sep 2020,,HJTQ-10-137,OKURA LIKA MURMUR S3J,306549,,,,
21,WTNG-18-37,219,43,205,15,A2/A2,26 Aug 2020,,,PKTY-11-29,BONACORD MURMUR BOLT,313016,26 Aug 2020,124,11,F
22,HKYM-14-115,235,58,377,72,A2/A2,,04 Sep 2020,,HJTQ-10-137,OKURA LIKA MURMUR S3J,306549,,,,
23,HKYM-12-135,166,58,216,76,A2/A2,,04 Sep 2020,,MRFT-10-138,UPLAND PARK TS INDY S3J,311005,,,,
24,PQVV-12-48,202,57,321,69,A2/A2,,31 Aug 2020,,HJTQ-03-209,ST PETERS OBSIDIAN,510016,,,,
25,HKYM-17-19,172,54,91,50,A2/A2,28 Aug 2020,,,FMD-11-148,LYNBROOK TERRIFIC ET S3J,309084,28 Aug 2020,244,35,F
26,HKYM-13-158,192,59,223,77,A2/A2,,30 Aug 2020,,FMD-08-24,UPLAND PARK TS INDY S3J,311005,,,,
27,HKYM-15-9,217,58,313,69,A2/A2,,24 Oct 2020,,FMD-08-10,PUKEROA TGM MANZELLO,308533,,,,
28,HKYM-18-102,269,40,230,15,A2/A2,01 Sep 2020,,22,HKYM-14-115,RUANUI TERRIFIC DALAS S3J,316033,01 Sep 2020,,,M
29,HKYM-16-47,179,55,236,57,A2/A2,,31 Aug 2020,,HKYM-13-27,KELLAND KC SPEEDWAY,309012,,,,
30,PQVV-14-56,167,53,307,65,A2/A2,,08 Sep 2020,,HJTQ-08-160,ARKANS PROMOTER,510003,,,,
31,PQVV-14-94,221,57,278,68,A2/A2,24 Aug 2020,,,HJTQ-11-18,HOWIES CHECKPOINT,508077,24 Aug 2020,,,M
32,PQVV-14-78,155,58,212,69,A2/A2,,23 Aug 2020,,HJTQ-08-328,HOWIES CHECKPOINT,508077,,,,
33,HKYM-16-150,253,57,318,63,A2/A2,01 Sep 2020,,97,HKYM-13-180,LYNBROOK TERRIFIC ET S3J,309084,01 Sep 2020,,,M
34,HKYM-16-39,175,56,133,63,A2/A2,31 Aug 2020,,,HKYM-13-85,KELLAND KC SPEEDWAY,309012,31 Aug 2020,,,M
35,HKYM-17-42,204,54,153,42,A2/A2,08 Sep 2020,,,HKYM-13-169,LYNBROOK TERRIFIC ET S3J,309084,08 Sep 2020,,,F
36,HKYM-15-94,215,57,426,69,A2/A2,31 Aug 2020,,,MQVR-10-67,PUKEROA TGM MANZELLO,308533,31 Aug 2020,,,M
37,HKYM-17-40,197,53,277,50,A2/A2,15 Aug 2020,,,HKYM-14-202,KELLAND KC SPEEDWAY,309012,15 Aug 2020,251,36,F
38,HKYM-15-190,270,57,216,69,A2/A2,27 Aug 2020,,,FMD-11-229,OKURA LT INTEGRITY,311013,27 Aug 2020,,,M
40,HKYM-12-121,205,52,273,74,A2/A2,,06 Sep 2020,,FMD-09-152,,FMD-10-186,,,,
41,HKYM-16-48,181,57,144,63,A2/A2,20 Aug 2020,,,FMD-09-59,KELLAND KC SPEEDWAY,309012,20 Aug 2020,,,M
42,HKYM-17-94,194,55,230,50,A2/A2,18 Aug 2020,,,HKYM-13-107,KELLAND KC SPEEDWAY,309012,18 Aug 2020,261,35,F
43,HKYM-18-74,236,43,232,15,A2/A2,19 Aug 2020,,,HKYM-12-124,BONACORD MURMUR BOLT,313016,19 Aug 2020,,,M
44,HKYM-17-4,208,55,131,51,A2/A2,06 Sep 2020,,,HKYM-13-143,LYNBROOK TERRIFIC ET S3J,309084,06 Sep 2020,,,M
45,HKYM-18-52,247,44,238,16,A2/A2,25 Aug 2020,,81,HKYM-14-170,BONACORD MURMUR BOLT,313016,25 Aug 2020,,,M
46,HKYM-15-159,267,56,471,67,A2/A2,,06 Oct 2020,,FMD-11-88,PUKEROA TGM MANZELLO,308533,,,,
47,WTNG-14-11,168,59,190,69,A2/A2,23 Aug 2020,,,MQVR-07-37,HOWIES CHECKPOINT,508077,23 Aug 2020,237,37,F
48,HKYM-14-101,204,57,285,72,A2/A2,,28 Aug 2020,,HJTQ-05-307,PUKEROA TGM MANZELLO,308533,,,,
49,HKYM-14-179,165,57,91,72,A2/A2,15 Aug 2020,,,PKTY-11-15,OKURA LIKA MURMUR S3J,306549,15 Aug 2020,235,37,M
50,HKYM-15-2,292,57,453,69,A2/A2,15 Aug 2020,,,HKYM-13-39,PUKEROA TGM MANZELLO,308533,15 Aug 2020,304,36,M
51,HKYM-16-126,187,57,79,63,A2/A2,,01 Sep 2020,,HJTQ-08-353,LYNBROOK TERRIFIC ET S3J,309084,,,,
52,PQVV-14-53,174,56,217,68,A2/A2,06 Sep 2020,,,HJTQ-11-39,HOWIES CHECKPOINT,508077,06 Sep 2020,254,36,F
53,HKYM-18-65,209,58,224,21,A2/A2,,01 Sep 2020,10,HKYM-14-206,FICHTL 5-STAR SULTAN S3J,313040,,,,
54,HKYM-14-27,197,55,276,70,A2/A2,,09 Sep 2020,,FMD-11-55,PUKEROA TGM MANZELLO,308533,,,,
55,HKYM-17-106,207,54,142,50,A2/A2,,12 Sep 2020,257,HKYM-14-73,PUHIPUHI CAPS GOLDIE S3J,309046,,,,
56,HKYM-14-11,175,58,104,72,A2/A2,,27 Aug 2020,,MQVR-07-59,OKURA LIKA MURMUR S3J,306549,,,,
57,HKYM-13-179,201,60,271,77,A2/A2,,27 Aug 2020,,FMD-05-80,UPLAND PARK TS INDY S3J,311005,,,,
58,HKYM-15-141,212,56,306,66,A2/A2,,03 Sep 2020,,FMD-11-41,LYNBROOK TERRIFIC ET S3J,309084,,,,
