Animal-Animal ID,Animal-Birth ID 1,Animal-BW 1-Value,Animal-BW 1-Reliability,Animal-PW-Value,Animal-PW-Reliability,Animal-A2 Status,Animal-Calving Date,Animal-Custom: Animal Fate (died),Pre-Calving-Expected Calving Date,Dam-Cow No.,Dam-Official ID,Sire-Name,Sire-Sire ID,Calf-Birth ID 2,Calf-Birth Date,Calf-BW 2-Value,Calf-BW 2-Reliability,Calf-Sex,Calf-Fate
236,PQVV-18-88,95,8,124,3,A1/A2,04 Aug 2020,,,167,PQVV-14-93,FICHTL 5-STAR SULTAN S3J,313040,,04 Aug 2020,,,M,Bobbied
2,HJTQ-18-8,193,44,173,16,,06 Aug 2020,,,,HJTQ-09-225,BELLS CM CONRAD S2J,312057,,06 Aug 2020,,,M,Died
234,PQVV-18-40,172,39,218,14,,06 Aug 2020,,,508,MRFT-13-40,OKURA GOLDIE INDEX,312034,,06 Aug 2020,,,M,Died
217,HKYM-18-96,253,45,271,16,A2/A2,08 Aug 2020,,,,WTNG-12-46,PRIESTS SIERRA,511011,,08 Aug 2020,,,F,Died
314,PQVV-18-116,120,14,134,5,A1/A2,08 Aug 2020,,,27,PQVV-15-62,OKURA GOLDIE INDEX,312034,,08 Aug 2020,,,F,Died
399,PQVV-18-61,122,31,163,12,A2/A2,08 Aug 2020,,,121,MRFT-15-9,FICHTL 5-STAR SULTAN S3J,313040,,08 Aug 2020,,,M,Bobbied
165,PQVV-18-100,159,41,200,15,A2/A2,09 Aug 2020,,,213,PQVV-13-1,OKURA 5-STAR INNES,313045,,09 Aug 2020,,,F,Bobbied
240,PQVV-18-160,163,26,155,9,A1/A2,09 Aug 2020,,,,MRFT-16-4,,HKYM-16-31,,09 Aug 2020,,,F,Bobbied
281,PQVV-18-158,153,29,137,10,A2/A2,09 Aug 2020,,,124,PQVV-16-10,,HKYM-16-93,,09 Aug 2020,,,F,Bobbied
436,PQWH-18-45,234,42,211,15,A2/A2,09 Aug 2020,,,,HKYM-15-12,OKURA OLM KAINO ET,313046,,09 Aug 2020,,,F,Bobbied
15,PQVV-15-1,144,51,233,58,A1/A2,11 Aug 2020,,,,MQVR-09-63,TAWA GROVE KRC TANA,309030,,11 Aug 2020,,,F,Bobbied
76,PQVV-18-89,213,42,216,15,A2/A2,11 Aug 2020,,,,MQVR-12-45,OKURA OLM KAINO ET,313046,,11 Aug 2020,,,F,Bobbied
119,PQVV-18-108,120,26,133,9,A1/A2,11 Aug 2020,,,99,MRFT-16-13,,HKYM-16-41,,11 Aug 2020,,,F,Bobbied
478,PQVV-18-86,188,41,184,15,A2/A2,11 Aug 2020,,,3,PQVV-14-51,OKURA OLM KAINO ET,313046,,11 Aug 2020,,,F,Bobbied
122,PQVV-18-60,223,44,271,16,A2/A2,12 Aug 2020,,,334,WTNG-14-28,OKURA GOLDIE INDEX,312034,,12 Aug 2020,,,F,Bobbied
262,PQVV-18-42,220,42,221,15,A2/A2,12 Aug 2020,,,75,MQVR-14-6,BONACORD MURMUR BOLT,313016,,12 Aug 2020,,,F,Bobbied
307,MRFT-14-109,46,55,-36,67,A1/A1,12 Aug 2020,,,,BJGF-04-8,CUTFORTHS LORD BRIAN,506063,PQVV-20-1,12 Aug 2020,187,35,F,Reared
138,MRFT-15-84,100,45,18,53,A1/A1,13 Aug 2020,,,,MRFT-11-68,HILLSTAR LOT JESTER S3J,308128,,13 Aug 2020,,,M,Bobbied
353,PQVV-13-22,151,53,133,69,A1/A2,13 Aug 2020,,,,HJTQ-10-509,ASHVALES DOUBLESHOT,512010,,13 Aug 2020,,,M,Bobbied
362,PQVV-12-87,83,56,-70,71,,13 Aug 2020,,,,MRFT-09-92,TANIWHA THUNDERBOLT,510007,,13 Aug 2020,,,M,Bobbied
7,PQVV-15-7,191,51,363,60,A1/A1,14 Aug 2020,,,,HJTQ-06-222,HILLSTAR LOT JESTER S3J,308128,PQVV-20-4,14 Aug 2020,242,29,F,Reared
22,PQVV-17-83,163,50,29,41,A1/A2,14 Aug 2020,,,152,HJTQ-09-324,WILLAND LT DYNAMO,311029,PQVV-20-3,14 Aug 2020,228,28,F,Reared
285,PQWH-12-78,141,55,244,72,A1/A2,14 Aug 2020,,,,HJTQ-02-207,MATAHUI NOBLE,511006,PQVV-20-2,14 Aug 2020,239,29,F,Reared
345,PQVV-18-119,175,44,202,15,A1/A2,14 Aug 2020,,,,HJTQ-10-190,OKURA GOLDIE INDEX,312034,,14 Aug 2020,,,F,Bobbied
376,HJTQ-18-87,243,42,234,15,,14 Aug 2020,,,,PQWH-14-8,OKURA OLM KAINO ET,313046,,14 Aug 2020,,,F,Bobbied
11,PQVV-16-50,207,53,263,54,A2/A2,15 Aug 2020,,,,PQVV-12-29,BOURKES LRT RIPPER,311044,PQVV-20-140,15 Aug 2020,,,M,Reared
44,PQVV-18-103,220,42,238,15,A1/A2,15 Aug 2020,,,,MQVR-12-31,BONACORD MURMUR BOLT,313016,,15 Aug 2020,,,M,Bobbied
48,PQVV-18-13,196,41,192,15,,15 Aug 2020,,,352,PQVV-14-81,OKURA OLM KAINO ET,313046,,15 Aug 2020,,,M,Died
83,HKYM-18-103,191,41,195,15,A2/A2,15 Aug 2020,,,,WTNG-13-13,HORIZON CONSCRIPT ET,513015,,15 Aug 2020,,,M,Bobbied
147,PQWH-18-14,140,41,155,15,A2/A2,15 Aug 2020,,,,PQWH-14-24,FICHTL 5-STAR SULTAN S3J,313040,,15 Aug 2020,,,M,Bobbied
311,PQVV-18-75,195,41,174,15,A2/A2,15 Aug 2020,,,43,PQVV-13-36,MAKARIOS MURMUR LAZARUS,313010,,15 Aug 2020,,,M,Bobbied
375,PQWH-18-124,124,17,156,6,A2/A2,15 Aug 2020,,,,PQWH-14-70,,,,15 Aug 2020,,,M,Bobbied
406,PQVV-18-91,202,35,194,13,A1/A2,15 Aug 2020,,,300,MRFT-14-45,OKURA OLM KAINO ET,313046,,15 Aug 2020,,,M,Died
494,PQVV-18-50,212,39,205,14,A2/A2,15 Aug 2020,,,59,PQVV-15-2,OKURA OLM KAINO ET,313046,,15 Aug 2020,,,M,Bobbied
45,PQWH-18-50,123,34,120,13,A2/A2,16 Aug 2020,,,,MRFT-12-173,MAKARIOS MURMUR LAZARUS,313010,,16 Aug 2020,,,M,Bobbied
46,PQVV-18-98,144,41,140,15,A2/A2,16 Aug 2020,,,195,MRFT-14-103,MAKARIOS MURMUR LAZARUS,313010,,16 Aug 2020,,,M,Bobbied
271,WTNG-14-62,166,56,208,66,A1/A2,16 Aug 2020,,,,MQVR-09-32,HOWIES CHECKPOINT,508077,,16 Aug 2020,,,M,Bobbied
364,MQVR-15-54,21,45,77,60,A1/A2,16 Aug 2020,,,,MRFT-10-35,VJ HERODOT,314554,,16 Aug 2020,,,M,Bobbied
380,PQVV-18-99,94,15,123,5,A2/A2,16 Aug 2020,,,,MQVR-13-4,FICHTL 5-STAR SULTAN S3J,313040,,16 Aug 2020,,,M,Bobbied
393,PQWH-18-53,178,40,212,15,A2/A2,16 Aug 2020,,,,HJTQ-14-69,OKURA 5-STAR INNES,313045,,16 Aug 2020,,,M,Bobbied
488,PQWH-18-39,220,41,201,15,A2/A2,16 Aug 2020,,,,PQWH-15-82,OKURA OLM KAINO ET,313046,,16 Aug 2020,,,M,Bobbied
490,PQVV-18-66,172,42,208,15,A2/A2,16 Aug 2020,,,263,WTNG-14-20,FICHTL 5-STAR SULTAN S3J,313040,,16 Aug 2020,,,M,Bobbied
35,PQVV-18-51,150,41,168,15,A2/A2,17 Aug 2020,,,357,MRFT-14-104,FICHTL 5-STAR SULTAN S3J,313040,,17 Aug 2020,,,F,Bobbied
35,PQVV-18-51,150,41,168,15,A2/A2,17 Aug 2020,,,357,MRFT-14-104,FICHTL 5-STAR SULTAN S3J,313040,,17 Aug 2020,,,F,Bobbied
58,PQVV-18-57,153,42,154,15,A2/A2,17 Aug 2020,,,,HJTQ-09-385,FICHTL 5-STAR SULTAN S3J,313040,,17 Aug 2020,,,F,Bobbied
354,PQVV-18-113,194,44,215,15,A1/A2,17 Aug 2020,,,,PKTY-11-27,OKURA GOLDIE INDEX,312034,,17 Aug 2020,,,F,Bobbied
369,PQVV-18-101,167,42,169,15,A2/A2,17 Aug 2020,,,370,MRFT-10-72,OKURA OLM KAINO ET,313046,,17 Aug 2020,,,F,Bobbied
90,HKYM-18-79,229,44,246,15,A2/A2,18 Aug 2020,,,,WTNG-12-6,PRIESTS SIERRA,511011,,18 Aug 2020,,,M,Bobbied
175,MRFT-12-166,37,30,135,64,A1/A1,18 Aug 2020,,,,,,,PQVV-20-5,18 Aug 2020,177,29,F,Reared
306,MQVR-14-27,171,56,211,68,A1/A1,18 Aug 2020,,,,HJTQ-09-30,AMBROSE SUPER STAN,509047,,18 Aug 2020,,,M,Bobbied
418,HJTQ-11-43,105,59,2,74,A1/A1,18 Aug 2020,,,,HJTQ-03-280,SHEPHERDS ML STARLIGHT ET,306107,PQVV-20-6,18 Aug 2020,217,36,F,Reared
17,PQVV-18-102,207,41,209,14,A2/A2,20 Aug 2020,,,,HJTQ-12-30,OKURA OLM KAINO ET,313046,,20 Aug 2020,,,M,Bobbied
39,PQVV-17-52,119,42,83,38,A1/A2,20 Aug 2020,,,,,BELLS CM CONRAD S2J,312057,,20 Aug 2020,,,M,Bobbied
59,PQVV-15-2,140,48,204,57,A1/A2,20 Aug 2020,,,503,PQVV-12-12,TIRONUI MEGANEV,307055,,20 Aug 2020,,,M,Bobbied
73,PQVV-18-150,187,28,170,10,A1/A1,20 Aug 2020,,,318,MQVR-16-30,,HKYM-16-89,,20 Aug 2020,,,M,Bobbied
82,PQWH-18-79,122,38,125,14,A2/A2,20 Aug 2020,,,,HJTQ-09-217,FICHTL 5-STAR SULTAN S3J,313040,,20 Aug 2020,,,M,Bobbied
150,HKYM-18-78,222,43,225,15,A2/A2,20 Aug 2020,,,,WTNG-15-24,HORIZON BLAZER ET,513016,PQVV-20-10,20 Aug 2020,134,11,F,Reared
176,PKTY-11-56,83,38,78,67,A1/A1,20 Aug 2020,,,,HJTQ-06-325,BOURKES NN RPM ET,307026,PQVV-20-138,20 Aug 2020,192,25,M,Reared
186,MRFT-14-55,151,55,142,64,A1/A2,20 Aug 2020,Died,,,MRFT-10-125,AMBROSE SUPER STAN,509047,,20 Aug 2020,,,M,Died
187,MRFT-14-85,132,55,223,66,A1/A2,20 Aug 2020,,,,MRFT-09-36,CUTFORTHS LORD BRIAN,506063,,20 Aug 2020,,,M,Bobbied
225,PQVV-17-29,264,52,412,42,A2/A2,20 Aug 2020,,,,PQVV-14-79,OKURA LT INTEGRITY,311013,PQVV-20-139,20 Aug 2020,297,35,M,Reared
264,PQVV-18-62,189,42,181,15,A2/A2,20 Aug 2020,,,291,MRFT-15-24,OKURA OLM KAINO ET,313046,,20 Aug 2020,,,M,Died
278,PQWH-18-20,222,44,236,15,A2/A2,20 Aug 2020,,,,PQWH-15-37,OKURA GOLDIE INDEX,312034,,20 Aug 2020,,,M,Bobbied
284,PQVV-17-40,141,52,163,42,A2/A2,20 Aug 2020,,,,HJTQ-08-391,BELLS CM CONRAD S2J,312057,,20 Aug 2020,,,M,Died
287,PQVV-18-115,120,15,148,6,A1/A1,20 Aug 2020,,,228,PQVV-14-38,,,,20 Aug 2020,,,M,Bobbied
303,PQVV-12-27,166,59,254,72,A1/A2,20 Aug 2020,,,,HJTQ-03-226,HOWIES CHECKPOINT,508077,PQVV-20-7,20 Aug 2020,241,36,F,Reared
321,PQVV-17-55,136,41,113,38,A2/A2,20 Aug 2020,,,,HJTQ-11-113,WILLAND LT DYNAMO,311029,PQVV-20-137,20 Aug 2020,,,M,Reared
351,PQVV-17-27,102,42,-40,38,A2/A2,20 Aug 2020,,,,,BELLS CM CONRAD S2J,312057,,20 Aug 2020,,,M,Died
401,PQVV-17-6,117,25,199,32,A1/A2,20 Aug 2020,,,,MQVR-14-53,OKURA GOLDIE INDEX,312034,PQVV-20-9,20 Aug 2020,207,22,F,Reared
404,PQVV-18-84,218,44,255,16,A2/A2,20 Aug 2020,,,303,PQVV-12-27,OKURA GOLDIE INDEX,312034,,20 Aug 2020,,,M,Bobbied
483,PQVV-17-65,120,17,140,30,A2/A2,20 Aug 2020,,,,PQVV-15-86,,,,20 Aug 2020,,,M,Died
489,PQVV-18-53,189,41,206,15,A2/A2,20 Aug 2020,,,,PQVV-15-6,BONACORD MURMUR BOLT,313016,,20 Aug 2020,,,M,Bobbied
493,PQVV-18-155,194,27,195,10,A2/A2,20 Aug 2020,,,11,PQVV-16-50,,HKYM-16-49,,20 Aug 2020,,,M,Bobbied
503,PQVV-12-12,66,37,77,66,A1/A2,20 Aug 2020,,,,HJTQ-04-131,,,PQVV-20-8,20 Aug 2020,201,25,F,Reared
16,MQVR-14-4,103,56,51,66,A1/A2,22 Aug 2020,,,,MRFT-10-38,ANNALYSER,509116,,22 Aug 2020,,,M,Bobbied
69,PQVV-16-26,145,48,208,54,A2/A2,22 Aug 2020,,,,HJTQ-07-105,SOUTH LAND JERICHO ET S3J,311019,PQVV-20-13,22 Aug 2020,230,34,F,Reared
75,MQVR-14-6,176,56,129,65,A1/A2,22 Aug 2020,,,,HJTQ-07-172,ANNALYSER,509116,,22 Aug 2020,,,M,Bobbied
81,PQVV-17-11,131,47,60,40,A2/A2,22 Aug 2020,,,,PQVV-14-85,BELLS CM CONRAD S2J,312057,PQVV-20-12,22 Aug 2020,219,27,F,Reared
97,MRFT-10-9,80,60,103,74,A1/A2,22 Aug 2020,,,,FVVY-04-196,VALENTIA DL MACGYVER ET,305103,PQVV-20-11,22 Aug 2020,55,15,F,Reared
101,PQVV-14-63,164,54,195,66,A1/A2,22 Aug 2020,,,,HJTQ-10-172,CUTFORTHS LORD BRIAN,506063,PQVV-20-14,22 Aug 2020,97,14,F,Reared
161,MRFT-12-51,61,27,153,63,A1/A1,22 Aug 2020,,,,,,,,22 Aug 2020,,,M,Bobbied
164,WTNG-17-38,137,52,139,42,A1/A2,22 Aug 2020,,,,MQVR-09-21,DRYSDALES SOVEREIGN,511051,,22 Aug 2020,,,M,Bobbied
190,FMD-11-34,180,60,198,77,A1/A2,22 Aug 2020,,,,FMD-00-9,TE ARANGA JOSHUA,309805,PQVV-20-136,22 Aug 2020,105,15,M,Reared
193,PQVV-14-42,103,53,133,60,,22 Aug 2020,,,,HJTQ-10-96,WERDERS EXCELLENCE,509025,,22 Aug 2020,,,M,Bobbied
301,PQVV-15-31,179,51,240,60,A1/A2,22 Aug 2020,,,,HJTQ-07-173,HILLSTAR LOT JESTER S3J,308128,,22 Aug 2020,,,M,Died
309,PQVV-16-6,284,55,510,59,A2/A2,22 Aug 2020,,,,PQVV-13-81,LYNBROOK TERRIFIC ET S3J,309084,PQVV-20-15,22 Aug 2020,306,36,F,Reared
332,PQWH-18-21,207,45,207,16,A2/A2,22 Aug 2020,,,,HJTQ-12-6,OKURA GOLDIE INDEX,312034,,22 Aug 2020,,,M,Bobbied
336,PQVV-13-86,58,57,17,71,A1/A2,22 Aug 2020,,,,HJTQ-10-104,SCOTTS BRAVO ET,512008,,22 Aug 2020,,,M,Bobbied
337,MQVR-13-26,217,56,301,71,A1/A2,22 Aug 2020,,,,HJTQ-09-285,ARKANS PROMOTER,510003,,22 Aug 2020,,,M,Bobbied
368,PQVV-18-148,128,20,142,7,A2/A2,22 Aug 2020,,,378,PQVV-16-66,,HKYM-16-93,,22 Aug 2020,,,M,Died
381,PQVV-17-17,236,52,109,41,A1/A2,22 Aug 2020,,,,PQVV-13-54,LYNBROOK GG QUICKSILVER,312059,PQVV-20-135,22 Aug 2020,276,35,M,Reared
394,PQVV-18-111,180,28,162,10,A1/A2,22 Aug 2020,,,231,PQVV-16-1,,HKYM-16-40,,22 Aug 2020,,,M,Bobbied
396,MRFT-13-24,121,58,97,72,A1/A1,22 Aug 2020,,,,BHHT-04-32,MALROSE MAJESTY,510022,PQVV-20-16,22 Aug 2020,218,36,F,Reared
414,PQVV-18-27,189,43,174,15,A2/A2,22 Aug 2020,,,,HJTQ-07-222,OKURA OLM KAINO ET,313046,,22 Aug 2020,,,M,Bobbied
422,MRFT-14-36,122,55,141,66,A1/A2,22 Aug 2020,,,,MRFT-11-64,HOWIES EASYRIDER,508140,,22 Aug 2020,,,M,Died
428,MRFT-14-49,166,55,225,67,A1/A2,22 Aug 2020,,,,JFQK-04-55,HOWIES CHECKPOINT,508077,,22 Aug 2020,,,M,Bobbied
443,PQVV-18-43,134,41,153,15,A2/A2,22 Aug 2020,,,,MRFT-14-32,FICHTL 5-STAR SULTAN S3J,313040,,22 Aug 2020,,,M,Died
465,PQVV-18-48,177,43,189,15,A2/A2,22 Aug 2020,,,,MQVR-10-76,BONACORD MURMUR BOLT,313016,,22 Aug 2020,,,M,Bobbied
468,HJTQ-17-31,188,50,203,41,,22 Aug 2020,,,,HJTQ-08-531,LYNBROOK GG QUICKSILVER,312059,,22 Aug 2020,,,M,Died
480,PQVV-17-25,197,52,172,42,A1/A2,22 Aug 2020,,,,MQVR-09-2,LYNBROOK GG QUICKSILVER,312059,PQVV-20-17,22 Aug 2020,263,35,F,Reared
499,PQVV-18-92,205,42,200,15,A2/A2,22 Aug 2020,,,,PQWH-12-96,BONACORD MURMUR BOLT,313016,,22 Aug 2020,,,M,Died
37,MQVR-17-10,229,52,313,41,A1/A2,23 Aug 2020,,,,HJTQ-09-441,OKURA LT INTEGRITY,311013,,23 Aug 2020,,,M,Died
94,PQWH-18-41,219,42,229,15,A2/A2,23 Aug 2020,,,,PQWH-12-75,OKURA OLM KAINO ET,313046,,23 Aug 2020,,,F,Died
102,PQVV-18-2,149,43,132,15,A2/A2,23 Aug 2020,,,16,MQVR-14-4,BELLS CM CONRAD S2J,312057,,23 Aug 2020,,,M,Bobbied
174,PQWH-18-100,205,42,215,15,A2/A2,23 Aug 2020,,,,PQWH-14-35,BONACORD MURMUR BOLT,313016,,23 Aug 2020,,,M,Bobbied
230,PQVV-17-46,182,51,307,41,A1/A2,23 Aug 2020,,,,PQVV-14-87,BELLS CM CONRAD S2J,312057,PQVV-20-20,23 Aug 2020,106,13,F,Reared
280,PQVV-16-13,253,54,331,56,A1/A2,23 Aug 2020,,,,PQVV-13-73,OKURA LT INTEGRITY,311013,,23 Aug 2020,,,M,Bobbied
294,PQVV-13-24,95,38,197,65,A1/A2,23 Aug 2020,,,,HJTQ-05-84,ATHLIAM PACEMAKER,512048,PQVV-20-19,23 Aug 2020,206,31,F,Reared
458,MRFT-13-33,205,56,362,71,A1/A1,23 Aug 2020,,,,HJTQ-06-3,MALROSE MAJESTY,510022,,23 Aug 2020,,,M,Died
464,PQVV-18-90,203,40,193,14,A1/A2,23 Aug 2020,,,,HJTQ-12-90,OKURA OLM KAINO ET,313046,,23 Aug 2020,,,M,Bobbied
471,PQVV-12-19,173,57,174,68,A1/A2,23 Aug 2020,,,,HJTQ-03-376,PAYNES PROPAGATOR,510014,PQVV-20-134,23 Aug 2020,241,29,M,Reared
24,PQVV-17-62,246,53,250,42,A1/A2,24 Aug 2020,,,,HJTQ-08-285,OKURA LT INTEGRITY,311013,,24 Aug 2020,,,M,Bobbied
145,PQWH-18-5,186,44,210,15,A2/A2,24 Aug 2020,,,,PQWH-12-98,OKURA GOLDIE INDEX,312034,,24 Aug 2020,,,M,Bobbied
156,PQVV-18-156,112,15,112,5,A2/A2,24 Aug 2020,,,,PQWH-16-55,,,,24 Aug 2020,,,M,Bobbied
171,PQVV-16-49,219,55,359,57,A2/A2,24 Aug 2020,,,18,PQVV-13-53,LYNBROOK TERRIFIC ET S3J,309084,PQVV-20-132,24 Aug 2020,274,35,M,Reared
288,MRFT-14-89,169,55,189,67,A1/A1,24 Aug 2020,,,,HJTQ-10-160,AMBROSE SUPER STAN,509047,PQVV-20-133,24 Aug 2020,228,29,M,Reared
341,PQVV-15-3,114,49,102,59,A1/A2,24 Aug 2020,,,,HJTQ-08-301,KELLAND KC SPEEDWAY,309012,,24 Aug 2020,,,M,Bobbied
373,PQWH-18-121,165,41,171,15,A2/A2,24 Aug 2020,,,,HJTQ-08-190,FICHTL 5-STAR SULTAN S3J,313040,,24 Aug 2020,,,M,Bobbied
446,PQVV-16-68,136,17,147,6,A2/A2,24 Aug 2020,,,,HJTQ-09-19,,,PQVV-20-18,24 Aug 2020,83,4,F,Reared
495,PQVV-18-11,163,43,153,15,A2/A2,24 Aug 2020,,,162,MRFT-13-52,BELLS CM CONRAD S2J,312057,,24 Aug 2020,,,M,Bobbied
33,PQVV-16-38,185,55,114,59,A2/A2,25 Aug 2020,,,,PQVV-12-80,LYNBROOK TERRIFIC ET S3J,309084,,25 Aug 2020,,,F,Died
114,PQVV-15-39,73,52,133,60,A1/A2,25 Aug 2020,,,,HJTQ-08-459,TIRONUI MEGANEV,307055,PQVV-20-21,25 Aug 2020,187,28,F,Reared
116,PQVV-18-94,189,40,237,14,A1/A2,25 Aug 2020,,,,MRFT-09-48,OKURA GOLDIE INDEX,312034,,25 Aug 2020,,,M,Bobbied
130,PQVV-18-117,68,16,91,6,A2/A2,25 Aug 2020,,,,HJTQ-10-96,,,,25 Aug 2020,,,M,Bobbied
